<eObjectEntry  timestamp='1390497113192' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390497114233' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testPeek'/>
<eObjectEntry  timestamp='1390497115331' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390497142788' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390497144861' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390497146742' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testPeek'/>
<eObjectEntry  timestamp='1390497147370' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390497184947' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testPeek'/>
<eObjectEntry  timestamp='1390497186903' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390497188519' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390497189172' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
